sample_id,feature,block,n_finite,mean,median,standard_deviation,q25,q75,iqr,minimum,maximum,mean_minus_median,absolute_mean_minus_median
0,OES_bin_0,OES_bin,100,0.5686136572834324,0.28616802572456046,0.7147412314621534,0.0,0.9068778209013495,0.9068778209013495,0.0,3.817169169600309,0.2824456315588719,0.2824456315588719
0,OES_bin_1,OES_bin,100,0.516637128514966,0.20315831331784623,0.6049368443464173,0.0,0.9446961893312119,0.9446961893312119,0.0,2.020164881321059,0.3134788151971198,0.3134788151971198
0,OES_bin_2,OES_bin,100,0.4775671106078868,0.096137587411317,0.6244358576961163,0.0,0.9071704888913745,0.9071704888913745,0.0,1.9739929722060323,0.3814295231965698,0.3814295231965698
0,OES_bin_3,OES_bin,100,0.49443885512749175,0.0398615813310042,0.6853817423304558,0.0,0.9470317539101587,0.9470317539101587,0.0,2.733153448725996,0.45457727379648755,0.45457727379648755
0,OES_bin_4,OES_bin,100,0.4338595202999892,0.23664897901890344,0.5742677815830783,0.0,0.6607803469014195,0.6607803469014195,0.0,3.10232078819607,0.19721054128108575,0.19721054128108575
0,OES_bin_5,OES_bin,100,0.5674877146106099,0.32713890248006516,0.7183552692945603,0.0,0.9316743525231338,0.9316743525231338,0.0,2.9152409330475795,0.2403488121305447,0.2403488121305447
0,OES_bin_6,OES_bin,100,0.4843653261960488,0.19438108523605097,0.6189546448292611,0.0,0.8017398580099722,0.8017398580099722,0.0,2.234198413871732,0.2899842409599978,0.2899842409599978
0,OES_bin_7,OES_bin,100,0.3906196466478907,0.0,0.5479320619749347,0.0,0.6303972581842027,0.6303972581842027,0.0,2.055911759291533,0.3906196466478907,0.3906196466478907
0,OES_bin_8,OES_bin,100,0.63723225321891,0.40809523215690685,0.7716482869642128,0.0,1.0305117412510283,1.0305117412510283,0.0,3.770572716232736,0.22913702106200312,0.22913702106200312
0,OES_bin_9,OES_bin,100,2.7013637693308707,2.849041911760305,1.0484208952110268,1.9875700098177385,3.2528275564720466,1.2652575466543081,0.6307725596678389,5.814163810271166,-0.14767814242943444,0.14767814242943444
