scheme,model,n_predictions,MAE,RMSE,pooled_R2,mae_diff_vs_mean_baseline,mae_diff_vs_median_baseline
five_fold,baseline_mean,20,2.4445000000000006,3.3218453549947204,-0.05357017925500629,0.0,-0.006000000000000227
five_fold,baseline_median,20,2.450500000000001,3.290075227103477,-0.03351385971264498,0.006000000000000227,0.0
five_fold,pcr,20,2.4768516781795284,2.9938637337423484,0.14420704370414583,0.03235167817952789,0.02635167817952766
five_fold,ridge,20,2.8898616796503225,3.4562704689214545,-0.14056513022807482,0.4453616796503219,0.4393616796503217
loo,baseline_mean,20,2.5026315789473683,3.406622969364479,-0.10803324099722977,0.0,-0.06986842105263236
loo,baseline_median,20,2.5725000000000007,3.383215186771306,-0.09285839311129873,0.06986842105263236,0.0
loo,pcr,20,2.726058555631456,3.1902403146760854,0.028256942744978586,0.22342697668408773,0.15355855563145537
loo,ridge,20,2.453399405475484,3.163680187719457,0.044369948868879794,-0.049232173471884355,-0.11910059452451671
