scheme,outer_fold,model,candidate,inner_fold_id,inner_mae
five_fold,3,ridge,10000.0,2,0.9442050161129558
five_fold,3,pcr,1.0,0,2.096167511561348
five_fold,3,pcr,1.0,1,3.05549922645086
five_fold,3,pcr,1.0,2,1.5479068983619662
five_fold,3,pcr,2.0,0,2.7457644806719546
five_fold,3,pcr,2.0,1,2.3484013405734165
five_fold,3,pcr,2.0,2,0.9073212737636538
five_fold,3,pcr,3.0,0,2.700751568705551
five_fold,3,pcr,3.0,1,3.0007303991881846
five_fold,3,pcr,3.0,2,0.818958762886016
five_fold,3,pcr,5.0,0,2.7952148118064817
five_fold,3,pcr,5.0,1,3.568270441075857
five_fold,3,pcr,5.0,2,1.9043504844046772
five_fold,4,ridge,0.1,0,3.173291327072729
five_fold,4,ridge,0.1,1,2.7338249549965545
five_fold,4,ridge,0.1,2,2.6777385215237155
five_fold,4,ridge,1.0,0,3.1611059610005667
five_fold,4,ridge,1.0,1,2.733186498786702
five_fold,4,ridge,1.0,2,2.6669496926447906
five_fold,4,ridge,10.0,0,3.045242601409931
five_fold,4,ridge,10.0,1,2.7273469671467736
five_fold,4,ridge,10.0,2,2.5670191698438574
five_fold,4,ridge,100.0,0,2.3140043884960737
five_fold,4,ridge,100.0,1,2.696009118098611
five_fold,4,ridge,100.0,2,2.1733310238970702
five_fold,4,ridge,1000.0,0,1.1877465651481678
five_fold,4,ridge,1000.0,1,2.6335482449559975
five_fold,4,ridge,1000.0,2,2.368708728773864
five_fold,4,ridge,10000.0,0,1.65355198557497
five_fold,4,ridge,10000.0,1,2.4512242418999044
five_fold,4,ridge,10000.0,2,2.8116386538775267
five_fold,4,pcr,1.0,0,2.975232125227184
five_fold,4,pcr,1.0,1,3.3049153119664334
five_fold,4,pcr,1.0,2,3.6568494813444814
five_fold,4,pcr,2.0,0,1.0337455017553225
five_fold,4,pcr,2.0,1,2.943313908240261
five_fold,4,pcr,2.0,2,2.7132190588403957
five_fold,4,pcr,3.0,0,0.963752612850446
five_fold,4,pcr,3.0,1,2.890361740882929
five_fold,4,pcr,3.0,2,2.701282130292724
five_fold,4,pcr,5.0,0,0.9935375885524138
five_fold,4,pcr,5.0,1,2.6201256676490416
five_fold,4,pcr,5.0,2,2.035642410404715
loo,0,ridge,0.1,0,1.9032622162269668
loo,0,ridge,0.1,1,2.5054218338107734
loo,0,ridge,0.1,2,2.945380786013876
loo,0,ridge,1.0,0,1.9003279063760299
loo,0,ridge,1.0,1,2.499893983098183
loo,0,ridge,1.0,2,2.9423514518769545
loo,0,ridge,10.0,0,1.872571509435002
loo,0,ridge,10.0,1,2.447314051202756
loo,0,ridge,10.0,2,2.9134872054862755
loo,0,ridge,100.0,0,1.6929152305332675
loo,0,ridge,100.0,1,2.3373918642261255
loo,0,ridge,100.0,2,2.715871677781575
loo,0,ridge,1000.0,0,1.8866453695251988
loo,0,ridge,1000.0,1,2.3278977706416626
loo,0,ridge,1000.0,2,2.1631510304403485
loo,0,ridge,10000.0,0,2.818327633963501
loo,0,ridge,10000.0,1,2.5739790130510296
loo,0,ridge,10000.0,2,1.4283130154208077
loo,0,pcr,1.0,0,3.6342248272831954
loo,0,pcr,1.0,1,3.2227883983901737
loo,0,pcr,1.0,2,1.5074945283684087
loo,0,pcr,2.0,0,2.529719381978475
loo,0,pcr,2.0,1,2.57555719108022
loo,0,pcr,2.0,2,2.270749578731461
loo,0,pcr,3.0,0,2.4640664605670146
loo,0,pcr,3.0,1,2.7119609057018383
loo,0,pcr,3.0,2,2.515511215587928
loo,0,pcr,5.0,0,1.5602660520084182
loo,0,pcr,5.0,1,2.721185275073053
loo,0,pcr,5.0,2,2.579026082654474
loo,1,ridge,0.1,0,3.0157967143133813
loo,1,ridge,0.1,1,3.0079561094681164
loo,1,ridge,0.1,2,2.6322164587422705
loo,1,ridge,1.0,0,3.015334073344982
