scheme,outer_fold,component,feature,loading,component_regression_coef
five_fold,0,1,OES_bin_0,0.010870800812147129,0.024160632855260808
five_fold,0,1,OES_bin_1,0.006555599184069784,0.024160632855260808
five_fold,0,1,OES_bin_2,0.013996587533001944,0.024160632855260808
five_fold,0,1,OES_bin_3,0.006901912708631735,0.024160632855260808
five_fold,0,1,OES_bin_4,0.003095170513922129,0.024160632855260808
five_fold,0,1,OES_bin_5,-0.0005659875964317884,0.024160632855260808
five_fold,0,1,OES_bin_6,0.004248238071354232,0.024160632855260808
five_fold,0,1,OES_bin_7,0.006544378822014596,0.024160632855260808
five_fold,0,1,OES_bin_8,0.01540901179202225,0.024160632855260808
five_fold,0,1,OES_bin_9,0.02557953082918272,0.024160632855260808
five_fold,0,1,OES_bin_10,0.025122013305422235,0.024160632855260808
five_fold,0,1,OES_bin_11,0.02491236972041051,0.024160632855260808
five_fold,0,1,OES_bin_12,0.025481269178535538,0.024160632855260808
five_fold,0,1,OES_bin_13,-0.002568500466071095,0.024160632855260808
five_fold,0,1,OES_bin_14,0.010442691389751912,0.024160632855260808
five_fold,0,1,OES_bin_15,0.02348986992704766,0.024160632855260808
five_fold,0,1,OES_bin_16,0.02494911240584917,0.024160632855260808
five_fold,0,1,OES_bin_17,0.02439276812554256,0.024160632855260808
five_fold,0,1,OES_bin_18,0.025205805318127217,0.024160632855260808
five_fold,0,1,OES_bin_19,0.0027104931892075984,0.024160632855260808
five_fold,0,1,OES_bin_20,-0.0021114719635294166,0.024160632855260808
five_fold,0,1,OES_bin_21,-0.0072426478946857305,0.024160632855260808
five_fold,0,1,OES_bin_22,0.003195584164818657,0.024160632855260808
five_fold,0,1,OES_bin_23,0.0009807632758614513,0.024160632855260808
five_fold,0,1,OES_bin_24,-0.01713993295365827,0.024160632855260808
five_fold,0,1,OES_bin_25,0.004221481750873861,0.024160632855260808
five_fold,0,1,OES_bin_26,-0.0010501839275866903,0.024160632855260808
five_fold,0,1,OES_bin_27,0.0025931231287211866,0.024160632855260808
five_fold,0,1,OES_bin_28,-0.0005147641826163274,0.024160632855260808
five_fold,0,1,OES_bin_29,-0.0011158744763345673,0.024160632855260808
five_fold,0,1,OES_bin_30,-0.004044147441535048,0.024160632855260808
five_fold,0,1,OES_bin_31,-0.011708568949284268,0.024160632855260808
five_fold,0,1,OES_bin_32,-0.011669015332812543,0.024160632855260808
five_fold,0,1,OES_bin_33,-0.0014729769873529264,0.024160632855260808
five_fold,0,1,OES_bin_34,-0.0010224912450977964,0.024160632855260808
five_fold,0,1,OES_bin_35,-0.0050616345578780985,0.024160632855260808
five_fold,0,1,OES_bin_36,0.006282740530326444,0.024160632855260808
five_fold,0,1,OES_bin_37,-0.00403766498435307,0.024160632855260808
five_fold,0,1,OES_bin_38,0.008433617967684732,0.024160632855260808
five_fold,0,1,OES_bin_39,-0.0002908476001844719,0.024160632855260808
five_fold,0,1,OES_bin_40,-0.01171359902814389,0.024160632855260808
five_fold,0,1,OES_bin_41,-0.002410856504628106,0.024160632855260808
five_fold,0,1,OES_bin_42,-0.0031442338431272266,0.024160632855260808
five_fold,0,1,OES_bin_43,-0.0033657768505545907,0.024160632855260808
five_fold,0,1,OES_bin_44,-0.006830995038316154,0.024160632855260808
five_fold,0,1,OES_bin_45,-0.013440614320458946,0.024160632855260808
five_fold,0,1,OES_bin_46,-0.002690488768452314,0.024160632855260808
five_fold,0,1,OES_bin_47,-0.014776318736898542,0.024160632855260808
five_fold,0,1,OES_bin_48,0.0016750459692976198,0.024160632855260808
five_fold,0,1,OES_bin_49,-0.010458023644740631,0.024160632855260808
five_fold,0,1,OES_bin_50,-0.009517291799456555,0.024160632855260808
five_fold,0,1,OES_bin_51,-0.009875458633466084,0.024160632855260808
five_fold,0,1,OES_bin_52,-0.005710508474919143,0.024160632855260808
five_fold,0,1,OES_bin_53,-0.005167351634592886,0.024160632855260808
five_fold,0,1,OES_bin_54,-0.004988789121942268,0.024160632855260808
five_fold,0,1,OES_bin_55,-0.005467999319566186,0.024160632855260808
five_fold,0,1,OES_bin_56,-0.012854329720731354,0.024160632855260808
five_fold,0,1,OES_bin_57,-0.005930081479745969,0.024160632855260808
five_fold,0,1,OES_bin_58,-0.004739116686231314,0.024160632855260808
five_fold,0,1,OES_bin_59,-0.00554107372129629,0.024160632855260808
five_fold,0,1,OES_bin_60,-0.014787695547149338,0.024160632855260808
five_fold,0,1,OES_bin_61,-0.007211789651588863,0.024160632855260808
five_fold,0,1,OES_bin_62,-0.008639078801886076,0.024160632855260808
five_fold,0,1,OES_bin_63,-0.010237673530136219,0.024160632855260808
five_fold,0,1,OES_bin_64,-0.01069273276657584,0.024160632855260808
five_fold,0,1,OES_bin_65,-0.01289527588565874,0.024160632855260808
five_fold,0,1,OES_bin_66,-0.01056344195038382,0.024160632855260808
five_fold,0,1,OES_bin_67,-0.013197928463206974,0.024160632855260808
five_fold,0,1,OES_bin_68,-0.009927312147223966,0.024160632855260808
five_fold,0,1,OES_bin_69,-0.010262605249862923,0.024160632855260808
five_fold,0,1,OES_bin_70,-0.01443173889781283,0.024160632855260808
five_fold,0,1,OES_bin_71,-0.010430428889190418,0.024160632855260808
five_fold,0,1,OES_bin_72,-0.010700079323283963,0.024160632855260808
five_fold,0,1,OES_bin_73,-0.00917046486743511,0.024160632855260808
five_fold,0,1,OES_bin_74,-0.009505394575205554,0.024160632855260808
five_fold,0,1,OES_bin_75,-0.010355829312529248,0.024160632855260808
five_fold,0,1,OES_bin_76,-0.00936877864290513,0.024160632855260808
five_fold,0,1,OES_bin_77,-0.011923175117239844,0.024160632855260808
five_fold,0,1,OES_bin_78,-0.011084840061660887,0.024160632855260808
five_fold,0,1,OES_bin_79,-0.008603707230219429,0.024160632855260808
five_fold,0,1,OES_bin_80,-0.013391265124688244,0.024160632855260808
five_fold,0,1,OES_bin_81,-0.008161095963655237,0.024160632855260808
five_fold,0,1,OES_bin_82,-0.010162906165638409,0.024160632855260808
five_fold,0,1,OES_bin_83,-0.00591794144798656,0.024160632855260808
five_fold,0,1,OES_bin_84,-0.008439619668656181,0.024160632855260808
five_fold,0,1,OES_bin_85,-0.01144661935648855,0.024160632855260808
five_fold,0,1,OES_bin_86,-0.00966180353772171,0.024160632855260808
five_fold,0,1,OES_bin_87,-0.012317947951005426,0.024160632855260808
five_fold,0,1,OES_bin_88,-0.0062059438503266106,0.024160632855260808
