scheme,outer_fold,feature,coefficient
five_fold,0,OES_bin_112,-0.017194404355759658
five_fold,0,OES_bin_113,-0.013904014331404544
five_fold,0,OES_bin_114,-0.0002772598813226886
five_fold,0,OES_bin_115,0.0021407226766065133
five_fold,0,OES_bin_116,0.0019780404645366673
five_fold,0,OES_bin_117,0.0006415578596454222
five_fold,0,OES_bin_118,0.0020156565429195615
five_fold,0,OES_bin_119,-0.008725457914953449
five_fold,0,OES_bin_120,-0.009829760310644926
five_fold,0,OES_bin_121,-0.0005834816204052961
five_fold,0,OES_bin_122,-0.020168329017907535
five_fold,0,OES_bin_123,0.008352368580244643
five_fold,0,OES_bin_124,-0.01958243581473238
five_fold,0,OES_bin_125,0.0065419002131779595
five_fold,0,OES_bin_126,-0.009889880395084854
five_fold,0,OES_bin_127,0.0009048945928427491
five_fold,0,OES_bin_128,-0.008378916511341598
five_fold,0,OES_bin_129,0.006141406799167684
five_fold,0,OES_bin_130,-0.006131216313073222
five_fold,0,OES_bin_131,-0.004628682805461869
five_fold,0,OES_bin_132,-0.0019669258258397998
five_fold,0,OES_bin_133,0.007432337102276183
five_fold,0,OES_bin_134,-0.002944029870723384
five_fold,0,OES_bin_135,-0.01163036133947176
five_fold,0,OES_bin_136,0.005720585437055606
five_fold,0,OES_bin_137,0.0035604552726140816
five_fold,0,OES_bin_138,-0.01144716202611527
five_fold,0,OES_bin_139,-0.0009991480446190563
five_fold,0,OES_bin_140,0.00862146692322087
five_fold,0,OES_bin_141,-0.009562470186996545
five_fold,0,OES_bin_142,-0.008080555654869441
five_fold,0,OES_bin_143,-0.008554911599265481
five_fold,0,OES_bin_144,-0.007715351181794488
five_fold,0,OES_bin_145,-0.0004941598450239151
five_fold,0,OES_bin_146,0.0005999840958561932
five_fold,0,OES_bin_147,0.002437292832924013
five_fold,0,OES_bin_148,0.005465288513879287
five_fold,0,OES_bin_149,-0.004722144284032535
five_fold,0,OES_bin_150,-0.015110517627425367
five_fold,0,OES_bin_151,-0.013131968442821058
five_fold,0,OES_bin_152,-0.00873795333577733
five_fold,0,OES_bin_153,-0.005087938738309719
five_fold,0,OES_bin_154,-0.005026741855350736
five_fold,0,OES_bin_155,-0.008082613089140177
five_fold,0,OES_bin_156,-0.007778496582254342
five_fold,0,OES_bin_157,-0.008659345870061739
five_fold,0,OES_bin_158,-0.007300320912308276
five_fold,0,OES_bin_159,-0.010978694664138304
five_fold,0,OES_bin_160,0.0031377373815092207
five_fold,0,OES_bin_161,-0.003378849319382448
five_fold,0,OES_bin_162,-0.0004683631930362197
five_fold,0,OES_bin_163,-0.0012304378022455452
five_fold,0,OES_bin_164,-0.010159278229698332
five_fold,0,OES_bin_165,-0.007381470709005009
five_fold,0,OES_bin_166,-0.00026605712048956667
five_fold,0,OES_bin_167,0.007174561286147359
five_fold,0,OES_bin_168,-0.008152517892322455
five_fold,0,OES_bin_169,-0.0033163840542171975
five_fold,0,OES_bin_170,-0.012510918045568718
five_fold,0,OES_bin_171,-0.007707325203461358
five_fold,0,OES_bin_172,0.0063252642768748734
five_fold,0,OES_bin_173,-0.003563488711540634
five_fold,0,OES_bin_174,0.0048841000604467775
five_fold,0,OES_bin_175,-0.00304382541120203
five_fold,0,OES_bin_176,-0.006311400500611974
five_fold,0,OES_bin_177,-0.00959226206540445
five_fold,0,OES_bin_178,0.008440141549553689
five_fold,0,OES_bin_179,-0.0014622177525398447
five_fold,0,OES_bin_180,0.0011703845451630193
five_fold,0,OES_bin_181,-0.003282045513584588
five_fold,0,OES_bin_182,-0.0014710306021077323
five_fold,0,OES_bin_183,-0.0035467619308182908
five_fold,0,OES_bin_184,-0.0022541781163963864
five_fold,0,OES_bin_185,0.003963405097570296
five_fold,0,OES_bin_186,-0.0044952805747412415
five_fold,0,OES_bin_187,0.002103579140061629
five_fold,0,OES_bin_188,-0.005965147507889361
five_fold,0,OES_bin_189,-0.004485532199958176
five_fold,0,OES_bin_190,-0.0026550455997098456
five_fold,0,OES_bin_191,-0.005851661933970475
